SearchBayesianSkopt: New best config found. Config 0: {'topK': 236, 'shrink': 448, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1228544, PRECISION: 0.0248495, PRECISION_RECALL_MIN_DEN: 0.0933659, RECALL: 0.0912320, MAP: 0.0417456, MRR: 0.0860834, NDCG: 0.0638661, F1: 0.0390600, HIT_RATE: 0.2484954, ARHR: 0.0969772, NOVELTY: 0.0046477, AVERAGE_POPULARITY: 0.1256616, DIVERSITY_MEAN_INTER_LIST: 0.9778901, DIVERSITY_HERFINDAHL: 0.9977700, COVERAGE_ITEM: 0.3403272, COVERAGE_ITEM_CORRECT: 0.0245236, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1263370, DIVERSITY_GINI: 0.0915736, SHANNON_ENTROPY: 10.7694089, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1663, 'shrink': 368, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1177316, PRECISION: 0.0234906, PRECISION_RECALL_MIN_DEN: 0.0897755, RECALL: 0.0877020, MAP: 0.0396812, MRR: 0.0817043, NDCG: 0.0608446, F1: 0.0370559, HIT_RATE: 0.2349058, ARHR: 0.0915145, NOVELTY: 0.0045214, AVERAGE_POPULARITY: 0.1609223, DIVERSITY_MEAN_INTER_LIST: 0.9617098, DIVERSITY_HERFINDAHL: 0.9961523, COVERAGE_ITEM: 0.3078345, COVERAGE_ITEM_CORRECT: 0.0214822, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1214295, DIVERSITY_GINI: 0.0723375, SHANNON_ENTROPY: 10.1648061, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1211, 'shrink': 1945, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1160328, PRECISION: 0.0230635, PRECISION_RECALL_MIN_DEN: 0.0882753, RECALL: 0.0862748, MAP: 0.0392794, MRR: 0.0805661, NDCG: 0.0600829, F1: 0.0363971, HIT_RATE: 0.2306348, ARHR: 0.0899517, NOVELTY: 0.0045235, AVERAGE_POPULARITY: 0.1604412, DIVERSITY_MEAN_INTER_LIST: 0.9615912, DIVERSITY_HERFINDAHL: 0.9961405, COVERAGE_ITEM: 0.3085659, COVERAGE_ITEM_CORRECT: 0.0210587, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1200453, DIVERSITY_GINI: 0.0724629, SHANNON_ENTROPY: 10.1651074, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1412, 'shrink': 1258, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1159541, PRECISION: 0.0231411, PRECISION_RECALL_MIN_DEN: 0.0879865, RECALL: 0.0859487, MAP: 0.0391591, MRR: 0.0803931, NDCG: 0.0599039, F1: 0.0364645, HIT_RATE: 0.2314114, ARHR: 0.0899430, NOVELTY: 0.0045211, AVERAGE_POPULARITY: 0.1611324, DIVERSITY_MEAN_INTER_LIST: 0.9612321, DIVERSITY_HERFINDAHL: 0.9961045, COVERAGE_ITEM: 0.3079500, COVERAGE_ITEM_CORRECT: 0.0209817, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1197936, DIVERSITY_GINI: 0.0721793, SHANNON_ENTROPY: 10.1557891, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1175, 'shrink': 2312, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1160357, PRECISION: 0.0229858, PRECISION_RECALL_MIN_DEN: 0.0880308, RECALL: 0.0860389, MAP: 0.0392007, MRR: 0.0804280, NDCG: 0.0599490, F1: 0.0362794, HIT_RATE: 0.2298583, ARHR: 0.0897771, NOVELTY: 0.0045240, AVERAGE_POPULARITY: 0.1603244, DIVERSITY_MEAN_INTER_LIST: 0.9616349, DIVERSITY_HERFINDAHL: 0.9961448, COVERAGE_ITEM: 0.3085659, COVERAGE_ITEM_CORRECT: 0.0210587, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1197936, DIVERSITY_GINI: 0.0724956, SHANNON_ENTROPY: 10.1664160, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1563, 'shrink': 2380, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1153996, PRECISION: 0.0228499, PRECISION_RECALL_MIN_DEN: 0.0874756, RECALL: 0.0854892, MAP: 0.0388151, MRR: 0.0799151, NDCG: 0.0594774, F1: 0.0360613, HIT_RATE: 0.2284993, ARHR: 0.0891855, NOVELTY: 0.0045204, AVERAGE_POPULARITY: 0.1614228, DIVERSITY_MEAN_INTER_LIST: 0.9609225, DIVERSITY_HERFINDAHL: 0.9960736, COVERAGE_ITEM: 0.3075265, COVERAGE_ITEM_CORRECT: 0.0207892, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1192903, DIVERSITY_GINI: 0.0719731, SHANNON_ENTROPY: 10.1488103, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 710, 'shrink': 620, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1189586, PRECISION: 0.0239177, PRECISION_RECALL_MIN_DEN: 0.0909135, RECALL: 0.0888372, MAP: 0.0401988, MRR: 0.0825637, NDCG: 0.0616509, F1: 0.0376885, HIT_RATE: 0.2391769, ARHR: 0.0926641, NOVELTY: 0.0045401, AVERAGE_POPULARITY: 0.1551837, DIVERSITY_MEAN_INTER_LIST: 0.9647218, DIVERSITY_HERFINDAHL: 0.9964534, COVERAGE_ITEM: 0.3132628, COVERAGE_ITEM_CORRECT: 0.0220982, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1230653, DIVERSITY_GINI: 0.0749385, SHANNON_ENTROPY: 10.2498123, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 1920, 'shrink': 1516, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1153772, PRECISION: 0.0231023, PRECISION_RECALL_MIN_DEN: 0.0879976, RECALL: 0.0859707, MAP: 0.0389122, MRR: 0.0799414, NDCG: 0.0597044, F1: 0.0364182, HIT_RATE: 0.2310231, ARHR: 0.0893861, NOVELTY: 0.0045198, AVERAGE_POPULARITY: 0.1616076, DIVERSITY_MEAN_INTER_LIST: 0.9608905, DIVERSITY_HERFINDAHL: 0.9960704, COVERAGE_ITEM: 0.3076035, COVERAGE_ITEM_CORRECT: 0.0208277, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1199195, DIVERSITY_GINI: 0.0719873, SHANNON_ENTROPY: 10.1485733, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1602, 'shrink': 392, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1178454, PRECISION: 0.0234129, PRECISION_RECALL_MIN_DEN: 0.0894501, RECALL: 0.0873765, MAP: 0.0396754, MRR: 0.0816777, NDCG: 0.0607530, F1: 0.0369302, HIT_RATE: 0.2341293, ARHR: 0.0914437, NOVELTY: 0.0045212, AVERAGE_POPULARITY: 0.1610020, DIVERSITY_MEAN_INTER_LIST: 0.9616324, DIVERSITY_HERFINDAHL: 0.9961446, COVERAGE_ITEM: 0.3077960, COVERAGE_ITEM_CORRECT: 0.0213282, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1211778, DIVERSITY_GINI: 0.0722997, SHANNON_ENTROPY: 10.1630687, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1265, 'shrink': 383, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1177057, PRECISION: 0.0234906, PRECISION_RECALL_MIN_DEN: 0.0897899, RECALL: 0.0877163, MAP: 0.0398476, MRR: 0.0819181, NDCG: 0.0609759, F1: 0.0370572, HIT_RATE: 0.2349058, ARHR: 0.0917270, NOVELTY: 0.0045225, AVERAGE_POPULARITY: 0.1605034, DIVERSITY_MEAN_INTER_LIST: 0.9619160, DIVERSITY_HERFINDAHL: 0.9961729, COVERAGE_ITEM: 0.3084119, COVERAGE_ITEM_CORRECT: 0.0215592, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1214295, DIVERSITY_GINI: 0.0724905, SHANNON_ENTROPY: 10.1686946, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1221, 'shrink': 1660, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1162333, PRECISION: 0.0231411, PRECISION_RECALL_MIN_DEN: 0.0881912, RECALL: 0.0861751, MAP: 0.0393068, MRR: 0.0805821, NDCG: 0.0601067, F1: 0.0364848, HIT_RATE: 0.2314114, ARHR: 0.0900499, NOVELTY: 0.0045232, AVERAGE_POPULARITY: 0.1604829, DIVERSITY_MEAN_INTER_LIST: 0.9615926, DIVERSITY_HERFINDAHL: 0.9961406, COVERAGE_ITEM: 0.3084889, COVERAGE_ITEM_CORRECT: 0.0210972, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1202970, DIVERSITY_GINI: 0.0724461, SHANNON_ENTROPY: 10.1648580, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1883, 'shrink': 789, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1167651, PRECISION: 0.0232188, PRECISION_RECALL_MIN_DEN: 0.0885085, RECALL: 0.0864712, MAP: 0.0391103, MRR: 0.0805339, NDCG: 0.0600169, F1: 0.0366078, HIT_RATE: 0.2321879, ARHR: 0.0901301, NOVELTY: 0.0045196, AVERAGE_POPULARITY: 0.1616222, DIVERSITY_MEAN_INTER_LIST: 0.9610833, DIVERSITY_HERFINDAHL: 0.9960897, COVERAGE_ITEM: 0.3077960, COVERAGE_ITEM_CORRECT: 0.0211742, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1205486, DIVERSITY_GINI: 0.0721054, SHANNON_ENTROPY: 10.1512709, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1818, 'shrink': 2955, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1151465, PRECISION: 0.0227723, PRECISION_RECALL_MIN_DEN: 0.0873009, RECALL: 0.0853323, MAP: 0.0387614, MRR: 0.0798123, NDCG: 0.0593758, F1: 0.0359506, HIT_RATE: 0.2277228, ARHR: 0.0889574, NOVELTY: 0.0045202, AVERAGE_POPULARITY: 0.1615259, DIVERSITY_MEAN_INTER_LIST: 0.9608450, DIVERSITY_HERFINDAHL: 0.9960658, COVERAGE_ITEM: 0.3075265, COVERAGE_ITEM_CORRECT: 0.0206737, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1189128, DIVERSITY_GINI: 0.0719643, SHANNON_ENTROPY: 10.1480485, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 57, 'shrink': 1613, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1150826, PRECISION: 0.0231994, PRECISION_RECALL_MIN_DEN: 0.0846359, RECALL: 0.0824550, MAP: 0.0382468, MRR: 0.0814365, NDCG: 0.0585417, F1: 0.0362106, HIT_RATE: 0.2319938, ARHR: 0.0911103, NOVELTY: 0.0049098, AVERAGE_POPULARITY: 0.0739244, DIVERSITY_MEAN_INTER_LIST: 0.9893707, DIVERSITY_HERFINDAHL: 0.9989179, COVERAGE_ITEM: 0.4266795, COVERAGE_ITEM_CORRECT: 0.0285659, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1194161, DIVERSITY_GINI: 0.1536713, SHANNON_ENTROPY: 11.8560855, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 551, 'shrink': 1279, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1181260, PRECISION: 0.0240924, PRECISION_RECALL_MIN_DEN: 0.0909996, RECALL: 0.0888570, MAP: 0.0400504, MRR: 0.0824099, NDCG: 0.0615727, F1: 0.0379069, HIT_RATE: 0.2409241, ARHR: 0.0925232, NOVELTY: 0.0045576, AVERAGE_POPULARITY: 0.1501789, DIVERSITY_MEAN_INTER_LIST: 0.9673600, DIVERSITY_HERFINDAHL: 0.9967172, COVERAGE_ITEM: 0.3181906, COVERAGE_ITEM_CORRECT: 0.0225987, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1229395, DIVERSITY_GINI: 0.0776094, SHANNON_ENTROPY: 10.3391687, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1450, 'shrink': 713, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1167064, PRECISION: 0.0233547, PRECISION_RECALL_MIN_DEN: 0.0887646, RECALL: 0.0867056, MAP: 0.0392494, MRR: 0.0808072, NDCG: 0.0602197, F1: 0.0367977, HIT_RATE: 0.2335469, ARHR: 0.0905183, NOVELTY: 0.0045207, AVERAGE_POPULARITY: 0.1612564, DIVERSITY_MEAN_INTER_LIST: 0.9613478, DIVERSITY_HERFINDAHL: 0.9961161, COVERAGE_ITEM: 0.3082194, COVERAGE_ITEM_CORRECT: 0.0212512, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.1208003, DIVERSITY_GINI: 0.0722546, SHANNON_ENTROPY: 10.1574117, 
