SearchBayesianSkopt: New best config found. Config 0: {'topK': 602, 'shrink': 1217, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1438101527187219, 'tversky_beta': 1.1231954018014585} - results: ROC_AUC: 0.0815896, PRECISION: 0.0159387, PRECISION_RECALL_MIN_DEN: 0.0651342, RECALL: 0.0637252, MAP: 0.0276762, MRR: 0.0554131, NDCG: 0.0426106, F1: 0.0254995, HIT_RATE: 0.1593865, ARHR: 0.0599486, NOVELTY: 0.0049641, AVERAGE_POPULARITY: 0.0183915, DIVERSITY_MEAN_INTER_LIST: 0.9961212, DIVERSITY_HERFINDAHL: 0.9995928, COVERAGE_ITEM: 0.4816939, COVERAGE_ITEM_CORRECT: 0.0282579, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0874544, DIVERSITY_GINI: 0.2099879, SHANNON_ENTROPY: 12.5937256, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1945, 'shrink': 2758, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.48718789824107345, 'tversky_beta': 0.8287446415924875} - results: ROC_AUC: 0.0743083, PRECISION: 0.0145797, PRECISION_RECALL_MIN_DEN: 0.0607130, RECALL: 0.0595955, MAP: 0.0251327, MRR: 0.0494925, NDCG: 0.0391146, F1: 0.0234279, HIT_RATE: 0.1457969, ARHR: 0.0532976, NOVELTY: 0.0049885, AVERAGE_POPULARITY: 0.0185890, DIVERSITY_MEAN_INTER_LIST: 0.9945661, DIVERSITY_HERFINDAHL: 0.9994373, COVERAGE_ITEM: 0.4460443, COVERAGE_ITEM_CORRECT: 0.0257940, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0817919, DIVERSITY_GINI: 0.1801189, SHANNON_ENTROPY: 12.3074866, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1522, 'shrink': 2305, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.3231416305314199, 'tversky_beta': 1.7506876240240286} - results: ROC_AUC: 0.0752782, PRECISION: 0.0145991, PRECISION_RECALL_MIN_DEN: 0.0605032, RECALL: 0.0593109, MAP: 0.0255945, MRR: 0.0505869, NDCG: 0.0394560, F1: 0.0234308, HIT_RATE: 0.1459911, ARHR: 0.0544469, NOVELTY: 0.0049857, AVERAGE_POPULARITY: 0.0184590, DIVERSITY_MEAN_INTER_LIST: 0.9948784, DIVERSITY_HERFINDAHL: 0.9994685, COVERAGE_ITEM: 0.4500096, COVERAGE_ITEM_CORRECT: 0.0258710, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0815402, DIVERSITY_GINI: 0.1828383, SHANNON_ENTROPY: 12.3429248, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1823, 'shrink': 2894, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6347583422031429, 'tversky_beta': 0.5862908881231529} - results: ROC_AUC: 0.0747031, PRECISION: 0.0146379, PRECISION_RECALL_MIN_DEN: 0.0606747, RECALL: 0.0594780, MAP: 0.0253427, MRR: 0.0498347, NDCG: 0.0392731, F1: 0.0234939, HIT_RATE: 0.1463793, ARHR: 0.0538240, NOVELTY: 0.0049848, AVERAGE_POPULARITY: 0.0186271, DIVERSITY_MEAN_INTER_LIST: 0.9949569, DIVERSITY_HERFINDAHL: 0.9994764, COVERAGE_ITEM: 0.4515111, COVERAGE_ITEM_CORRECT: 0.0260635, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0811627, DIVERSITY_GINI: 0.1835372, SHANNON_ENTROPY: 12.3483495, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 814, 'shrink': 2362, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.987982839717025, 'tversky_beta': 0.40471352015184137} - results: ROC_AUC: 0.0796555, PRECISION: 0.0152980, PRECISION_RECALL_MIN_DEN: 0.0629613, RECALL: 0.0616262, MAP: 0.0267553, MRR: 0.0537206, NDCG: 0.0412301, F1: 0.0245113, HIT_RATE: 0.1529800, ARHR: 0.0580025, NOVELTY: 0.0049633, AVERAGE_POPULARITY: 0.0183242, DIVERSITY_MEAN_INTER_LIST: 0.9959250, DIVERSITY_HERFINDAHL: 0.9995732, COVERAGE_ITEM: 0.4741867, COVERAGE_ITEM_CORRECT: 0.0273340, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0843085, DIVERSITY_GINI: 0.2026358, SHANNON_ENTROPY: 12.5346251, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 887, 'shrink': 2232, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9028375937059216, 'tversky_beta': 0.043560703698311894} - results: ROC_AUC: 0.0790563, PRECISION: 0.0152786, PRECISION_RECALL_MIN_DEN: 0.0622818, RECALL: 0.0609157, MAP: 0.0265705, MRR: 0.0534672, NDCG: 0.0409546, F1: 0.0244298, HIT_RATE: 0.1527859, ARHR: 0.0577391, NOVELTY: 0.0049615, AVERAGE_POPULARITY: 0.0183281, DIVERSITY_MEAN_INTER_LIST: 0.9958570, DIVERSITY_HERFINDAHL: 0.9995664, COVERAGE_ITEM: 0.4724158, COVERAGE_ITEM_CORRECT: 0.0272955, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0845602, DIVERSITY_GINI: 0.2008533, SHANNON_ENTROPY: 12.5184027, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1131, 'shrink': 389, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.14235292653468104, 'tversky_beta': 0.9199501841321374} - results: ROC_AUC: 0.0774516, PRECISION: 0.0149097, PRECISION_RECALL_MIN_DEN: 0.0618655, RECALL: 0.0606365, MAP: 0.0260298, MRR: 0.0521343, NDCG: 0.0402578, F1: 0.0239343, HIT_RATE: 0.1490973, ARHR: 0.0560330, NOVELTY: 0.0049768, AVERAGE_POPULARITY: 0.0182991, DIVERSITY_MEAN_INTER_LIST: 0.9953875, DIVERSITY_HERFINDAHL: 0.9995194, COVERAGE_ITEM: 0.4570549, COVERAGE_ITEM_CORRECT: 0.0265255, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0838052, DIVERSITY_GINI: 0.1895044, SHANNON_ENTROPY: 12.4166025, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 228, 'shrink': 2150, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.40505816713278786, 'tversky_beta': 0.05597635910674682} - results: ROC_AUC: 0.0864218, PRECISION: 0.0165793, PRECISION_RECALL_MIN_DEN: 0.0681510, RECALL: 0.0667616, MAP: 0.0285870, MRR: 0.0580649, NDCG: 0.0443893, F1: 0.0265623, HIT_RATE: 0.1657930, ARHR: 0.0628577, NOVELTY: 0.0049591, AVERAGE_POPULARITY: 0.0182890, DIVERSITY_MEAN_INTER_LIST: 0.9965961, DIVERSITY_HERFINDAHL: 0.9996403, COVERAGE_ITEM: 0.5193455, COVERAGE_ITEM_CORRECT: 0.0296054, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0917327, DIVERSITY_GINI: 0.2398713, SHANNON_ENTROPY: 12.7931531, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1446, 'shrink': 1548, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6820897887774112, 'tversky_beta': 1.5444909469269912} - results: ROC_AUC: 0.0757302, PRECISION: 0.0146379, PRECISION_RECALL_MIN_DEN: 0.0606569, RECALL: 0.0594381, MAP: 0.0255030, MRR: 0.0510144, NDCG: 0.0394483, F1: 0.0234908, HIT_RATE: 0.1463793, ARHR: 0.0549618, NOVELTY: 0.0049840, AVERAGE_POPULARITY: 0.0184331, DIVERSITY_MEAN_INTER_LIST: 0.9951655, DIVERSITY_HERFINDAHL: 0.9994972, COVERAGE_ITEM: 0.4544370, COVERAGE_ITEM_CORRECT: 0.0261020, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0815402, DIVERSITY_GINI: 0.1867795, SHANNON_ENTROPY: 12.3837724, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 279, 'shrink': 2648, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.3234604763991427, 'tversky_beta': 0.37926500267809227} - results: ROC_AUC: 0.0840486, PRECISION: 0.0164822, PRECISION_RECALL_MIN_DEN: 0.0681810, RECALL: 0.0667499, MAP: 0.0280883, MRR: 0.0563823, NDCG: 0.0438483, F1: 0.0264366, HIT_RATE: 0.1648224, ARHR: 0.0609276, NOVELTY: 0.0049588, AVERAGE_POPULARITY: 0.0183903, DIVERSITY_MEAN_INTER_LIST: 0.9964810, DIVERSITY_HERFINDAHL: 0.9996288, COVERAGE_ITEM: 0.5105294, COVERAGE_ITEM_CORRECT: 0.0295284, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0913552, DIVERSITY_GINI: 0.2324049, SHANNON_ENTROPY: 12.7450550, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 1566, 'shrink': 1543, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5521307174873092, 'tversky_beta': 0.9687978392776411} - results: ROC_AUC: 0.0750808, PRECISION: 0.0146768, PRECISION_RECALL_MIN_DEN: 0.0609153, RECALL: 0.0597444, MAP: 0.0253850, MRR: 0.0503882, NDCG: 0.0394260, F1: 0.0235646, HIT_RATE: 0.1467676, ARHR: 0.0543071, NOVELTY: 0.0049844, AVERAGE_POPULARITY: 0.0185870, DIVERSITY_MEAN_INTER_LIST: 0.9950056, DIVERSITY_HERFINDAHL: 0.9994812, COVERAGE_ITEM: 0.4533975, COVERAGE_ITEM_CORRECT: 0.0261020, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0819177, DIVERSITY_GINI: 0.1856646, SHANNON_ENTROPY: 12.3673679, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 718, 'shrink': 1168, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.529953908509191, 'tversky_beta': 0.7913451292970548} - results: ROC_AUC: 0.0808115, PRECISION: 0.0156280, PRECISION_RECALL_MIN_DEN: 0.0641532, RECALL: 0.0627626, MAP: 0.0271964, MRR: 0.0544841, NDCG: 0.0419099, F1: 0.0250248, HIT_RATE: 0.1562803, ARHR: 0.0588926, NOVELTY: 0.0049627, AVERAGE_POPULARITY: 0.0183481, DIVERSITY_MEAN_INTER_LIST: 0.9960756, DIVERSITY_HERFINDAHL: 0.9995882, COVERAGE_ITEM: 0.4780366, COVERAGE_ITEM_CORRECT: 0.0277575, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0861960, DIVERSITY_GINI: 0.2067273, SHANNON_ENTROPY: 12.5714602, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1838, 'shrink': 632, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8810276549199845, 'tversky_beta': 0.396008006438778} - results: ROC_AUC: 0.0773800, PRECISION: 0.0151621, PRECISION_RECALL_MIN_DEN: 0.0620856, RECALL: 0.0607744, MAP: 0.0260700, MRR: 0.0515378, NDCG: 0.0402940, F1: 0.0242694, HIT_RATE: 0.1516210, ARHR: 0.0559733, NOVELTY: 0.0049759, AVERAGE_POPULARITY: 0.0186308, DIVERSITY_MEAN_INTER_LIST: 0.9956980, DIVERSITY_HERFINDAHL: 0.9995505, COVERAGE_ITEM: 0.4577093, COVERAGE_ITEM_CORRECT: 0.0269875, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0836794, DIVERSITY_GINI: 0.1908127, SHANNON_ENTROPY: 12.4466424, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 315, 'shrink': 1563, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7059653830785831, 'tversky_beta': 0.6171327105824117} - results: ROC_AUC: 0.0830783, PRECISION: 0.0163075, PRECISION_RECALL_MIN_DEN: 0.0676731, RECALL: 0.0662502, MAP: 0.0283354, MRR: 0.0560377, NDCG: 0.0438169, F1: 0.0261726, HIT_RATE: 0.1630751, ARHR: 0.0606685, NOVELTY: 0.0049543, AVERAGE_POPULARITY: 0.0183052, DIVERSITY_MEAN_INTER_LIST: 0.9964251, DIVERSITY_HERFINDAHL: 0.9996232, COVERAGE_ITEM: 0.5057170, COVERAGE_ITEM_CORRECT: 0.0291819, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0898452, DIVERSITY_GINI: 0.2285771, SHANNON_ENTROPY: 12.7200807, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1059, 'shrink': 2907, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4128944574861304, 'tversky_beta': 0.8587033944517433} - results: ROC_AUC: 0.0771431, PRECISION: 0.0148709, PRECISION_RECALL_MIN_DEN: 0.0613397, RECALL: 0.0601130, MAP: 0.0259308, MRR: 0.0522542, NDCG: 0.0401163, F1: 0.0238434, HIT_RATE: 0.1487090, ARHR: 0.0562244, NOVELTY: 0.0049743, AVERAGE_POPULARITY: 0.0183579, DIVERSITY_MEAN_INTER_LIST: 0.9955483, DIVERSITY_HERFINDAHL: 0.9995355, COVERAGE_ITEM: 0.4646391, COVERAGE_ITEM_CORRECT: 0.0264485, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0830502, DIVERSITY_GINI: 0.1945200, SHANNON_ENTROPY: 12.4575326, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1960, 'shrink': 1610, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.24522230135917727, 'tversky_beta': 1.1102408113331663} - results: ROC_AUC: 0.0743194, PRECISION: 0.0146185, PRECISION_RECALL_MIN_DEN: 0.0608284, RECALL: 0.0597012, MAP: 0.0252053, MRR: 0.0494237, NDCG: 0.0391682, F1: 0.0234862, HIT_RATE: 0.1461852, ARHR: 0.0532704, NOVELTY: 0.0049899, AVERAGE_POPULARITY: 0.0185753, DIVERSITY_MEAN_INTER_LIST: 0.9944999, DIVERSITY_HERFINDAHL: 0.9994307, COVERAGE_ITEM: 0.4421174, COVERAGE_ITEM_CORRECT: 0.0258710, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0817919, DIVERSITY_GINI: 0.1778051, SHANNON_ENTROPY: 12.2887038, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1422, 'shrink': 236, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.19006426337690235, 'tversky_beta': 1.8962684879184577} - results: ROC_AUC: 0.0759247, PRECISION: 0.0146573, PRECISION_RECALL_MIN_DEN: 0.0615093, RECALL: 0.0603223, MAP: 0.0255685, MRR: 0.0510985, NDCG: 0.0396580, F1: 0.0235841, HIT_RATE: 0.1465735, ARHR: 0.0550159, NOVELTY: 0.0049790, AVERAGE_POPULARITY: 0.0184981, DIVERSITY_MEAN_INTER_LIST: 0.9953159, DIVERSITY_HERFINDAHL: 0.9995123, COVERAGE_ITEM: 0.4493551, COVERAGE_ITEM_CORRECT: 0.0261405, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0821694, DIVERSITY_GINI: 0.1843081, SHANNON_ENTROPY: 12.3771602, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 1042, 'shrink': 2664, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.03128247532646667, 'tversky_beta': 1.6654343182804705} - results: ROC_AUC: 0.0759719, PRECISION: 0.0148903, PRECISION_RECALL_MIN_DEN: 0.0617587, RECALL: 0.0605033, MAP: 0.0253507, MRR: 0.0505346, NDCG: 0.0396035, F1: 0.0238989, HIT_RATE: 0.1489031, ARHR: 0.0544566, NOVELTY: 0.0049768, AVERAGE_POPULARITY: 0.0182199, DIVERSITY_MEAN_INTER_LIST: 0.9952697, DIVERSITY_HERFINDAHL: 0.9995076, COVERAGE_ITEM: 0.4510491, COVERAGE_ITEM_CORRECT: 0.0265640, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0829244, DIVERSITY_GINI: 0.1856753, SHANNON_ENTROPY: 12.3856822, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 866, 'shrink': 230, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.06816003738841415, 'tversky_beta': 1.4864190105346367} - results: ROC_AUC: 0.0787767, PRECISION: 0.0154339, PRECISION_RECALL_MIN_DEN: 0.0629825, RECALL: 0.0615886, MAP: 0.0263418, MRR: 0.0529338, NDCG: 0.0408917, F1: 0.0246825, HIT_RATE: 0.1543390, ARHR: 0.0571287, NOVELTY: 0.0049675, AVERAGE_POPULARITY: 0.0182974, DIVERSITY_MEAN_INTER_LIST: 0.9956258, DIVERSITY_HERFINDAHL: 0.9995432, COVERAGE_ITEM: 0.4592878, COVERAGE_ITEM_CORRECT: 0.0275265, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0856927, DIVERSITY_GINI: 0.1924770, SHANNON_ENTROPY: 12.4537761, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1530, 'shrink': 1837, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0168164714950656, 'tversky_beta': 0.21844414794717798} - results: ROC_AUC: 0.0752859, PRECISION: 0.0145603, PRECISION_RECALL_MIN_DEN: 0.0606017, RECALL: 0.0594040, MAP: 0.0254872, MRR: 0.0509378, NDCG: 0.0394018, F1: 0.0233880, HIT_RATE: 0.1456028, ARHR: 0.0548525, NOVELTY: 0.0049814, AVERAGE_POPULARITY: 0.0185236, DIVERSITY_MEAN_INTER_LIST: 0.9951793, DIVERSITY_HERFINDAHL: 0.9994986, COVERAGE_ITEM: 0.4574783, COVERAGE_ITEM_CORRECT: 0.0259865, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0811627, DIVERSITY_GINI: 0.1879904, SHANNON_ENTROPY: 12.3906912, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 755, 'shrink': 2035, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5423424377730254, 'tversky_beta': 1.5383172102485825} - results: ROC_AUC: 0.0806925, PRECISION: 0.0155310, PRECISION_RECALL_MIN_DEN: 0.0643261, RECALL: 0.0630005, MAP: 0.0270766, MRR: 0.0541096, NDCG: 0.0418521, F1: 0.0249189, HIT_RATE: 0.1553096, ARHR: 0.0583008, NOVELTY: 0.0049694, AVERAGE_POPULARITY: 0.0183532, DIVERSITY_MEAN_INTER_LIST: 0.9958241, DIVERSITY_HERFINDAHL: 0.9995631, COVERAGE_ITEM: 0.4703369, COVERAGE_ITEM_CORRECT: 0.0275650, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0864477, DIVERSITY_GINI: 0.2008185, SHANNON_ENTROPY: 12.5176526, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 825, 'shrink': 783, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7438177532074844, 'tversky_beta': 0.7111787314831649} - results: ROC_AUC: 0.0801911, PRECISION: 0.0153757, PRECISION_RECALL_MIN_DEN: 0.0630921, RECALL: 0.0617311, MAP: 0.0268264, MRR: 0.0539100, NDCG: 0.0413485, F1: 0.0246193, HIT_RATE: 0.1537566, ARHR: 0.0582309, NOVELTY: 0.0049667, AVERAGE_POPULARITY: 0.0183350, DIVERSITY_MEAN_INTER_LIST: 0.9959348, DIVERSITY_HERFINDAHL: 0.9995741, COVERAGE_ITEM: 0.4728778, COVERAGE_ITEM_CORRECT: 0.0274880, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0849377, DIVERSITY_GINI: 0.2022490, SHANNON_ENTROPY: 12.5335991, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 874, 'shrink': 2503, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3619414693186704, 'tversky_beta': 0.6974380490866127} - results: ROC_AUC: 0.0792016, PRECISION: 0.0153562, PRECISION_RECALL_MIN_DEN: 0.0625018, RECALL: 0.0611182, MAP: 0.0265318, MRR: 0.0534429, NDCG: 0.0409814, F1: 0.0245453, HIT_RATE: 0.1535624, ARHR: 0.0576791, NOVELTY: 0.0049658, AVERAGE_POPULARITY: 0.0183133, DIVERSITY_MEAN_INTER_LIST: 0.9957939, DIVERSITY_HERFINDAHL: 0.9995601, COVERAGE_ITEM: 0.4712608, COVERAGE_ITEM_CORRECT: 0.0274880, COVERAGE_USER: 0.6481691, COVERAGE_USER_CORRECT: 0.0849377, DIVERSITY_GINI: 0.2001657, SHANNON_ENTROPY: 12.5102735, 
